aX,aY,aZ,gX,gY,gZ
-0.789,-0.959,2.421,-39.673,108.215,88.501
-0.997,-1.021,2.082,-43.823,102.051,56.824
-1.061,-1.025,1.909,-44.434,89.172,21.423
-1.141,-0.883,1.656,-70.313,113.037,29.724
-1.142,-0.800,1.251,-108.276,163.513,59.143
-0.750,-0.447,1.015,-141.968,204.590,87.341
-0.281,-0.086,0.825,-177.002,232.666,104.370
-0.033,-0.041,0.525,-233.643,242.004,138.977
0.274,-0.497,0.360,-301.270,272.461,217.468
0.536,-0.755,0.366,-351.318,322.021,295.532
1.049,-0.827,0.094,-303.650,319.092,267.334
1.483,-0.768,-0.350,-197.937,244.995,135.498
1.496,-0.504,-1.408,-116.394,145.630,7.263
1.149,0.319,-2.711,-91.125,92.957,-37.170
0.851,1.020,-3.656,-95.398,116.516,-22.400
1.165,1.664,-3.875,-116.699,178.284,-6.836
1.575,1.974,-3.092,-131.409,244.080,-35.522
2.054,2.339,-2.136,-132.751,284.058,15.015
2.243,2.450,-1.344,-130.005,284.851,48.035
2.274,2.863,-0.366,-81.421,258.423,2.319
2.238,3.485,0.770,-23.621,234.436,-70.801
2.019,3.944,1.410,26.367,250.061,-127.197
1.638,3.803,1.405,67.932,257.507,-131.653
1.144,2.531,0.673,122.986,221.191,-81.360
0.431,0.571,-0.509,159.607,164.978,7.019
-0.165,-1.092,-1.256,136.780,76.111,125.366
-0.477,-1.972,-1.094,84.106,-12.512,231.506
-0.478,-2.206,-0.580,34.119,-46.143,290.283
-0.229,-1.680,-0.576,5.737,-41.260,309.692
-0.092,-0.889,-0.563,-3.967,19.836,239.624
-0.032,0.002,-0.403,-7.935,63.232,126.953
0.023,0.733,-0.211,6.226,62.683,-9.216
0.380,0.907,-0.056,43.884,48.340,-151.672
0.705,0.692,0.136,72.754,56.580,-238.098
0.889,0.468,0.097,73.120,114.014,-219.360
0.953,0.451,-0.027,40.588,158.447,-125.916
0.871,0.389,-0.081,-8.423,119.507,-54.382
0.736,0.348,-0.093,-32.288,30.884,3.357
0.603,0.322,-0.129,-30.579,-35.889,45.288
0.584,0.316,-0.221,-15.503,-47.729,71.899
0.547,0.321,-0.195,4.822,-35.522,79.041
0.560,0.265,-0.153,18.372,-29.053,60.669
0.600,0.251,-0.096,16.724,-27.039,32.227
